Electricity sector water withdrawals by technology
scenario,region,sector,technology,input,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,biomass (conv),water withdrawals,0.00597272,0.0109645,0.0108754,0.011662869999999999,0.01488105,0.01713495,0.02188297,0.025919,0.02486295,0.015724653,0.006120482,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,8.92278E-5,0.0013914763,0.0040290187,0.0072981124,0.0119470467,0.0187277654,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00113601,0.00396522,0.007431190000000001,0.01087821,0.014243750000000001,0.016746259,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,8.97535E-4,0.012695956,0.035172548,0.061656654,0.096966839,0.145748024,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,coal (conv pul),water withdrawals,0.0849656,0.0565746,0.0860194,0.13149729999999998,0.1793111,0.1837047,0.1802081,0.1794824,0.1801231,0.175742,0.16374397999999998,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00743477,0.048625,0.11117835,0.1742684,0.24562366000000002,0.32685298,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,gas (CC),water withdrawals,0.00342047,0.0281227,0.0304305,0.0513876,0.0748825,0.07878570000000001,0.08672771,0.09770728999999999,0.11033091,0.12572819,0.14204729,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,gas (steam/CT),water withdrawals,0.0874102,0.0736442,0.157961,0.1869173,0.2288069,0.2255168,0.20763735,0.19306758000000002,0.17883741,0.16045100999999998,0.13820536,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,geothermal,water withdrawals,0.0,0.0,0.0,0.00173083,0.00485835,0.00704532,0.01599484,0.02804508,0.03960037,0.05041717,0.06072869,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,refined liquids (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.0132439,0.06424191,0.1115931,0.14646413000000003,0.19659221,0.25700003,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,refined liquids (CC),water withdrawals,0.0,0.0,0.0,0.0,0.0204847,0.012466419999999999,0.018393,0.02545735,0.03333324,0.044613169999999994,0.05406709,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Colombia,electricity,refined liquids (steam/CT),water withdrawals,0.0086257,0.0025941,0.0114251,0.01356739,0.01716256,0.0156188,0.014270531,0.012713093000000002,0.01201112,0.011403576,0.010402618,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,CSP,water withdrawals,0.0,0.0,0.0,6.15865E-6,1.727615E-5,5.406775E-5,1.5033975E-4,5.5435975E-4,0.0010159227499999999,0.0015447130999999997,0.0020087995999999997,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,CSP_storage,water withdrawals,0.0,0.0,0.0,0.0,0.0,1.22314E-4,7.16415E-4,0.005622144999999999,0.020091945,0.044351845,0.085143045,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,Gen_III,water withdrawals,0.0,0.0,0.0,0.0219466,0.0353087,0.062034599999999995,0.11180989999999999,0.2928779,0.5313479,0.7957468000000001,1.0879437,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,Gen_II_LWR,water withdrawals,0.0814876,0.299787,0.163114,0.15074,0.14367,0.133358,0.119246,0.101532,0.0815569,0.0615821,0.043868,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,PV,water withdrawals,2.16E-8,1.944E-7,6.69599E-7,1.1753399E-5,2.6400299000000003E-5,6.405769900000001E-5,1.4527909900000001E-4,3.5012709900000003E-4,4.4677180000000005E-4,5.261465000000001E-4,5.729983E-4,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,PV_storage,water withdrawals,0.0,0.0,0.0,9.93467E-8,2.314207E-7,5.703237E-7,1.3052597E-6,5.0121397E-6,1.43042097E-5,2.7787562999999997E-5,4.8069689E-5,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,biomass (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,5.23712E-4,0.005779342,0.032598165,0.07221275099999999,0.114630864,0.16029212999999998,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,biomass (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00281839,0.00484886,0.0033201590000000005,5.633783999999999E-4,7.284477E-5,1.16801607E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,biomass (conv CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00469422,0.11663409999999999,0.5090625799999999,0.91570143,1.1972456999999999,1.39346224,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,biomass (conv),water withdrawals,0.0,0.0663967,0.0563042,0.0309571,0.047452499999999995,0.0594698,0.07710709999999998,0.01360131,0.0010716378,9.5674022E-5,1.94696861E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,coal (IGCC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,5.31084E-4,0.007757397,0.043285714999999995,0.093221412,0.14424500099999998,0.16881264999999998,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,coal (IGCC),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00762588,0.00979538,0.00501335,7.915277999999999E-4,9.062546E-5,1.68045295E-6,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,coal (conv pul CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.00533479,0.06700136,0.33213879999999996,0.67201927,0.97760969,1.0449313599999999,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,coal (conv pul),water withdrawals,0.178133,0.757421,0.745529,0.8493930000000001,0.8703464000000001,0.899158,0.6768706,0.15701248,0.016963085999999995,0.00169842938,3.0387467640000005E-5,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,gas (CC CCS),water withdrawals,0.0,0.0,0.0,0.0,0.0,0.017065,0.116225,0.6348505,1.4111387,2.2083618,2.8002635,0.0,0.0,0.0,km^3,
"NDC_FullTech,date=2018-3-8T17:07:36-04:00",Mexico,electricity,gas (CC),water withdrawals,0.0522832,0.60737,0.60748,0.816703,0.9088700000000001,1.053099,1.06288,0.9709495,0.6546504,0.24291274,0.0121563979,0.0,0.0,0.0,km^3,
